"Year","Tier","type","dmg_now","tot_nuts","pctNOW"
2006,1,"MD",159,9046,1.75768295379173
2006,2,"MD",30,5779,0.519120955182558
2006,3,"MD",138,9133,1.51100405124275
2006,4,"MD",56,12660,0.442338072669826
2006,7,"Conv",267,10172,2.62485253637436
2006,8,"Conv",127,10230,1.24144672531769
2006,9,"Conv",31,4218,0.734945471787577
2006,10,"Conv",148,8996,1.64517563361494
2007,1,"MD",57,7481,0.761930223232188
2007,2,"MD",7,6992,0.100114416475973
2007,3,"MD",29,7231,0.401051030286267
2007,4,"Conv",30,6012,0.499001996007984
2007,7,"Conv",46,10071,0.456757025121636
2007,8,"Conv",79,10516,0.751236211487257
2007,9,"Conv",12,4234,0.283419933868682
2007,10,"Conv",131,12753,1.02720928409002
2008,1,"MD",77,6797,1.13285272914521
2008,2,"CMD",10,6742,0.148323939483833
2008,3,"MD",105,12228,0.858684985279686
2008,4,"CMD",53,11259,0.470734523492317
2008,4,"MD",4,1072,0.373134328358209
2008,5,"MD",303,5706,5.31019978969506
2008,6,"CMD",170,8800,1.93181818181818
2008,7,"MD",116,5338,2.17309853877857
2008,8,"CMD",52,5352,0.971599402092676
2008,9,"Conv",73,3603,2.02608936996947
2008,10,"Conv",112,5700,1.96491228070175
2009,1,"CMD",15,4842,0.309789343246592
2009,2,"MD",44,5708,0.770847932725999
2009,3,"CMD",13,5846,0.222374273007184
2009,4,"MD",34,5069,0.670743736437167
2009,5,"CMD",18,5628,0.319829424307036
2009,6,"MD",52,5976,0.870147255689424
2009,7,"CMD",32,3466,0.923254472013849
2009,8,"MD",100,3199,3.12597686777118
2009,9,"Conv",126,4531,2.78084308099757
2009,10,"Conv",99,5270,1.87855787476281
2010,1,"Conv",16,7424,0.21551724137931
2010,2,"Conv",12,4902,0.244798041615667
2010,3,"MD",63,5200,1.21153846153846
2010,4,"CMD",8,5746,0.139227288548556
2010,5,"MD",20,5075,0.394088669950739
2010,6,"CMD",20,4982,0.401445202729827
2010,7,"MD",6,3276,0.183150183150183
2010,8,"CMD",12,3683,0.325821341297855
2010,9,"MD",8,4762,0.167996640067199
2010,10,"CMD",14,4699,0.297935731006597
2011,1,"Conv",30,4790,0.626304801670146
2011,2,"Conv",9,4715,0.190880169671262
2011,3,"CMD",16,5475,0.292237442922374
2011,4,"MD",20,5123,0.390396252195979
2011,5,"CMD",14,5325,0.262910798122066
2011,6,"MD",20,5271,0.37943464238285
2011,7,"CMD",9,3234,0.278293135435993
2011,8,"MD",30,3525,0.851063829787234
2011,9,"CMD",25,4916,0.508543531326281
2011,10,"MD",110,4759,2.31140996007565
2012,1,"Conv",87,3280,2.65243902439024
2012,2,"Conv",59,3603,1.63752428531779
2012,3,"MD",130,3887,3.34448160535117
2012,4,"CMD",42,3182,1.31992457573853
2012,5,"MD",24,2372,1.01180438448567
2012,6,"CMD",27,2654,1.01733232856066
2012,7,"MD",86,2491,3.45242874347652
2012,8,"CMD",78,2478,3.14769975786925
2012,9,"MD",38,2341,1.62323793250748
2012,10,"CMD",94,3526,2.66591038003403
2013,1,"Conv",29,5050,0.574257425742574
2013,2,"Conv",14,5021,0.278828918542123
2013,3,"CMD",10,5124,0.195160031225605
2013,4,"MD",20,5560,0.359712230215827
2013,5,"CMD",11,4854,0.226617222908941
2013,6,"MD",22,5025,0.437810945273632
2013,7,"CMD",21,3233,0.649551500154655
2013,8,"MD",14,3250,0.430769230769231
2013,9,"CMD",4,3810,0.10498687664042
2013,10,"MD",64,4957,1.29110349001412
2014,1,"MD",90,5214,1.72612197928654
2014,2,"CMD",9,4916,0.183075671277461
2014,3,"MD",95,4878,1.94751947519475
2014,4,"CMD",38,4852,0.78318219291014
2014,5,"MD",90,4879,1.84464029514245
2014,6,"CMD",84,4610,1.82212581344902
2014,7,"MD",100,3263,3.06466441924609
2014,8,"CMD",94,3469,2.70971461516287
2014,9,"Conv",121,4342,2.78673422385997
2014,10,"Conv",161,5051,3.18748762621263
2015,1,"CMD",137,4565,3.00109529025192
2015,2,"MD",93,4575,2.0327868852459
2015,3,"CMD",28,4532,0.617828773168579
2015,4,"MD",44,4476,0.98302055406613
2015,5,"CMD",99,4677,2.11674150096216
2015,6,"MD",176,4531,3.88435224012359
2015,7,"CMD",99,3058,3.23741007194245
2015,8,"MD",608,3089,19.6827452249919
2015,9,"Conv",375,3444,10.8885017421603
2015,10,"Conv",341,4967,6.86531105294947
